Iteration,PR,OS,DurationSec
1,2014,ubuntu,274
1,2018,ubuntu,281
1,2014,macos,181
1,2018,macos,203
1,2014,windows,431
1,2018,windows,441
2,2014,ubuntu,283
2,2018,ubuntu,296
2,2014,macos,202
2,2018,macos,213
2,2014,windows,407
2,2018,windows,394
3,2014,ubuntu,0
3,2018,ubuntu,289
3,2014,macos,272
3,2018,macos,269
3,2014,windows,424
3,2018,windows,441
4,2014,ubuntu,285
4,2018,ubuntu,270
4,2014,macos,237
4,2018,macos,309
4,2014,windows,427
4,2018,windows,442
5,2014,ubuntu,278
5,2018,ubuntu,283
5,2014,macos,200
5,2018,macos,204
5,2014,windows,390
5,2018,windows,451
6,2014,ubuntu,246
6,2018,ubuntu,293
6,2014,macos,301
6,2018,macos,200
6,2014,windows,429
6,2018,windows,399
7,2014,ubuntu,275
7,2018,ubuntu,286
7,2014,macos,190
7,2018,macos,226
7,2014,windows,438
7,2018,windows,363
